URL (Canonical / Link),slug,H1,meta_title,meta_description,robots,layout,weight,image,draft
https://reklamai.lt/es-investicijos/,es-investicijos,ES finansuojami projektai,ES investicijos,"UAB ""Primum"" įgyvendinti Europos Sąjungos struktūrinių fondų lėšomis finansuojami projektai.","index, follow",page,90,,FALSE
https://reklamai.lt/covid-19-produktai/,covid-19-produktai,COVID-19 projektas,ES investicijos – COVID-19,"UAB „Primum“ įgyvendintas projektas, skirtas apsauginių priemonių gamybai.","noindex, follow",page,90,,FALSE
https://reklamai.lt/kki-produktu-kurimas/,kki-produktu-kurimas,KKI produktų kūrimas,ES investicijos – KKI,Naujų kultūros ir kūrybinių sektorių produktų kūrimas UAB „Primum“.,"noindex, follow",page,90,,FALSE
https://reklamai.lt/e-komercijos-modelis-covid-19/,e-komercijos-modelis-covid-19,E. komercijos modelio diegimas,ES investicijos – E. komercija,E. komercijos modelio diegimas UAB „Primum“ elektroniniam užsakymų valdymui.,"noindex, follow",page,90,,FALSE
https://reklamai.lt/eco-inovacijos-lt/,eco-inovacijos-lt,Eco-inovacijos LT,ES investicijos – Eco-inovacijos,Efektyvios ir aplinką tausojančios įrangos diegimas gamyboje.,"noindex, follow",page,90,,FALSE
,,,,,,,,,
https://reklamai.lt/kontaktai/,kontaktai,,Kontaktai | Primum Print | reklamai.lt | UAB Primum,"Susisiekite su Primum Print komanda. Teikiame technines konsultacijas. Peržiūrėkite mūsų adresą, telefonus, darbo laiką ir susisiekite su vadybininku.","index, follow",page,80,,FALSE
https://reklamai.lt/apie-uab-primum/,apie-uab-primum,,Apie UAB PRIMUM | reklamai.lt,"Naudodami pažangias technologijas, profesionaliai atliekame įvairių formatų spaudos darbus. Užtikriname aukštą produktų kokybę, patrauklią kainą ir tikslų užsakymų įvykdymą laiku.","index, follow",page,81,,FALSE
https://reklamai.lt/faq/,faq,Dažniausiai užduodami klausimai (FAQ),Dažniausiai užduodami klausimai | Primum Print | reklamai.lt,"Atsakymai į dažniausiai užduodamus klausimus apie reklamos gamybą, plačiaformatę spaudą, užsakymų pateikimą ir gamybos terminus.","noindex, follow",page,85,,TRUE
http://spaustuve.reklamai.lt,*,Klientų sritis – Primum Print užsakymų valdymas,Klientų sritis | Primum Print | reklamai.lt,"Prisijunkite prie Primum Print klientų srities. Valdykite savo reklamos gamybos užsakymus, stebėkite eigos statusus ir peržiūrėkite dokumentaciją.","noindex, follow",page,95,,FALSE
